date,race,distance,website
2018-04-14,Traprock,50K/17K,https://www.traprock50.com/
2018-05-20,Soapstone Mt. Trail Races,24K/6K,www.shenipsitstriders.org
2018-06-03,Goodwin Forest,10K/30K,www.friendsofgoodwinforest.org
2018-06-10,Nipmuck South,22.7K,www.shenipsitstriders.org  
2018-07-29,Soapstone Assault,8.9K,www.shenipsitstriders.org
2018-08-04,People's Forest,12.1K,www.greystoneracing.net
2018-08-25,Tunxis Trail Ultramarathon,30K/60K,http://ultrasignup.com/register.aspx?did=56002
2018-09-16,Trails to a Cure/Cockaponsett,12.9K,www.snerro.com
2018-09-30,NipMuck Trail Marathon,42.5K,www.shenipsitstriders.org
2018-10-21,Bimbler's Bluff,50K,www.bimblersbluff.com
