date,race,distance,website
2020-04-18,Traprock Trail Races,50k/17k,https://www.traprock50.com
2020-05-17T09:00,Soapstone Mountain Trail Races,24k/6k,http://shenipsitstriders.org/club-races/soapstone-mountain-trail-races.html
2020-06-07,Goodwin Forest Trail Runs,10k/30k,https://www.friendsofgoodwinforest.org/2019-goodwin-forest-trail-run.html
2020-06-14T09:00,Nipmuck South Trail Race,14.5mi,http://shenipsitstriders.org/club-races/nipmuck-south-trail-race.html
2020-06-14,HMF Summer Solstice Trail Run,3.3mi/5.5mi,http://www.hartfordmarathon.com/summer-solstice-trail-run
2020-07-26T09:00,Soapstone Assault,8.9k,http://shenipsitstriders.org/club-races/soapstone-assault.html
2020-08-01,People's Forest,7mi,http://greystoneracing.net/pages/applications.html
2020-09-12,Tunxis Trail Ultramarathon,8k/30k/60k,https://tunxisultra.wordpress.com
2020-09-13,Macedonia Trail Race,7.25mi/25k/50k,https://www.steependurance.com/macedonia-trail-race.html
2020-09-20,Trails to a Cure (Cockaponset Trail),4mi/8mi,https://www.facebook.com/Trails-to-a-Cure-245634792577421/
2020-10-04T08:00:00-04,NipMuck Trail Marathon,26.4mi,http://shenipsitstriders.org/club-races/nipmuck-trail-marathon.html
2020-10-18,Bimbler's Bluff,50k,https://bimblersbluff.com
