date,race,distance,website
2015-04-12,Bimbler's Bash,10K,www.bimblersbash.com
2015-04-18,Traprock,50K/17K,www.traprock50.com
2015-05-17,Soapstone Mt. Trail Races,22K/6K,www.shenipsitstriders.org
2015-06-07,Goodwin Forest,10K/30K,www.friendsofgoodwinforest.org
2015-06-28,Nipmuck South,22.7K,www.shenipsitstriders.org  
2015-07-26,Soapstone Assault,8.9K,www.shenipsitstriders.org
2015-08-02,People's Forest,12.1K,www.greystoneracing.net
2015-09-19,Run for the Woods,10K/5K,www.ctwoodlands.org/runforthewoods2015
2015-09-20,Trails to a Cure/Cockaponsett,12.9K,www.snerro.com
2015-10-04,NipMuck Trail Marathon,42.5K,www.shenipsitstriders.org
2015-10-18,Bimbler's Bluff,50K,www.bimblersbluff.com
