date,race,distance,website
2024-04-13,Traprock Trail Races,17k,https://ultrasignup.com/register.aspx?did=104453
2024-05-19,Soapstone Mountain Trail Races,24k,http://shenipsitstriders.org/club-races/soapstone-mountain-trail-races.html
2024-06-02,Goodwin Forest Trail Runs,10k,https://www.friendsofgoodwinforest.org/goodwin-forest-trail-run.html
2024-06-09,Nipmuck South Trail Race,14.5mi,http://shenipsitstriders.org/club-races/nipmuck-south-trail-race.html
2024-06-15,HMF Summer Solstice Trail Run,8mi,http://www.hartfordmarathon.com/summer-solstice-trail-run
2024-08-03,People's Forest,7mi,http://greystoneracing.net/pages/applications.html
2024-09-08,Macedonia Trail Race,25k,https://www.steependurance.com/macedonia-trail-race.html
2024-09-22,Trails to a Cure (Cockaponset Trail),8mi,https://www.facebook.com/Trails-to-a-Cure-245634792577421/
2024-09-28,Tunxis Trail Race,30k,https://ultrasignup.com/register.aspx?did=104859
2024-10-06,NipMuck Trail Marathon,26.4mi,http://shenipsitstriders.org/club-races/nipmuck-trail-marathon.html
2024-10-20,Bimbler's Bluff,50k,https://bimblersound.com/WordPress/bluff/
