date,race,distance,website
2017-4-15,Traprock,50K/17K,www.traprock50.com
2017-5-21,Soapstone Mt. Trail Races,22K/6K,www.shenipsitstriders.org
2017-6-4,Goodwin Forest,10K/30K,www.friendsofgoodwinforest.org
2017-6-11,Nipmuck South,22.7K,www.shenipsitstriders.org  
2017-7-30,Soapstone Assault,8.9K,www.shenipsitstriders.org
2017-8-5,People's Forest,12.1K,www.greystoneracing.net
2017-9-9,Run for the Woods,10K/5K,www.ctwoodlands.org/runforthewoods
2017-9-17,Trails to a Cure/Cockaponsett,12.9K,www.snerro.com
2017-10-1,NipMuck Trail Marathon,42.5K,www.shenipsitstriders.org
2017-10-22,Bimbler's Bluff,50K,www.bimblersbluff.com
