date,race,distance,website
2023-04-15,Traprock Trail Races,17k,https://www.cttrailmixers.com/traprock-17-50k
2023-05-21T09:00,Soapstone Mountain Trail Races,24k,http://shenipsitstriders.org/club-races/soapstone-mountain-trail-races.html
2023-06-04,Goodwin Forest Trail Runs,10k,https://www.friendsofgoodwinforest.org/goodwin-forest-trail-run.html
2023-06-11T09:00,Nipmuck South Trail Race,14.5mi,http://shenipsitstriders.org/club-races/nipmuck-south-trail-race.html
2023-06-17,HMF Summer Solstice Trail Run,8mi,http://www.hartfordmarathon.com/summer-solstice-trail-run
2023-08-05,People's Forest,7mi,http://greystoneracing.net/pages/applications.html
2023-09-10,Macedonia Trail Race,25k,https://www.steependurance.com/macedonia-trail-race.html
2023-09-17,Trails to a Cure (Cockaponset Trail),8mi,https://www.facebook.com/Trails-to-a-Cure-245634792577421/
2023-09-23,Tunxis Trail Race,30k,https://tunxisultra.wordpress.com
2023-10-01T08:00:00-04,NipMuck Trail Marathon,26.4mi,http://shenipsitstriders.org/club-races/nipmuck-trail-marathon.html
2023-10-22,Bimbler's Bluff,50k,https://bimblersound.com/WordPress/bluff/
