date,race,distance,website
2022-04-16,Traprock Trail Races,17k,https://www.cttrailmixers.com/traprock-17-50k
2022-05-15T09:00,Soapstone Mountain Trail Races,24k,http://shenipsitstriders.org/club-races/soapstone-mountain-trail-races.html
2022-06-05,Goodwin Forest Trail Runs,10k,https://www.friendsofgoodwinforest.org/goodwin-forest-trail-run.html
2022-06-12T09:00,Nipmuck South Trail Race,14.5mi,http://shenipsitstriders.org/club-races/nipmuck-south-trail-race.html
2022-06-18,HMF Summer Solstice Trail Run,8mi,http://www.hartfordmarathon.com/summer-solstice-trail-run
2022-08-06,People's Forest,7mi,http://greystoneracing.net/pages/applications.html
2022-09-10,Tunxis Trail Race,30k,https://tunxisultra.wordpress.com
2022-09-11,Macedonia Trail Race,25k,https://www.steependurance.com/macedonia-trail-race.html
2022-09-18,Trails to a Cure (Cockaponset Trail),8mi,https://www.facebook.com/Trails-to-a-Cure-245634792577421/
2022-10-02T08:00:00-04,NipMuck Trail Marathon,26.4mi,http://shenipsitstriders.org/club-races/nipmuck-trail-marathon.html
2022-10-23,Bimbler's Bluff,50k,https://bimblersound.com/WordPress/bluff/
