date,race,distance,website
2016-04-16,Traprock,50K/17K,www.traprock50.com
2016-05-15,Soapstone Mt. Trail Races,22K/6K,www.shenipsitstriders.org
2016-06-05,Goodwin Forest,10K/30K,www.friendsofgoodwinforest.org
2016-06-12,Nipmuck South,22.7K,www.shenipsitstriders.org  
2016-07-31,Soapstone Assault,8.9K,www.shenipsitstriders.org
2016-08-06,People's Forest,12.1K,www.greystoneracing.net
2016-09-10,Run for the Woods,10K/5K,www.ctwoodlands.org/runforthewoods
2016-09-25,Trails to a Cure/Cockaponsett,12.9K,www.snerro.com
2016-10-02,NipMuck Trail Marathon,42.5K,www.shenipsitstriders.org
2016-10-23,Bimbler's Bluff,50K,www.bimblersbluff.com
